"ADM_RATE","CONTROL","net_cost","income_group"
0.5362,"Private",NA,"Q3"
0.8568,"Private",NA,"Q3"
0.4762,"Private",NA,"Q3"
0.876,"Private",NA,"Q3"
0.7157,"Private",NA,"Q3"
0.7969,"Private",NA,"Q3"
0.5,"Private",NA,"Q3"
0.6887,"Private",NA,"Q3"
0.6955,"Private",NA,"Q3"
0.658,"Private",NA,"Q3"
0.7752,"Private",NA,"Q3"
0.6171,"Private",NA,"Q3"
0.6411,"Private",NA,"Q3"
0.7542,"Private",NA,"Q3"
0.6595,"Private",NA,"Q3"
0.7742,"Private",NA,"Q3"
0.6693,"Private",NA,"Q3"
0.5018,"Private",NA,"Q3"
0.9542,"Private",NA,"Q3"
0.3506,"Private",NA,"Q3"
0.3846,"Private",NA,"Q3"
0.8252,"Public",13524,"Q3"
0.8023,"Public",14142,"Q3"
0.6903,"Private",NA,"Q3"
0.7212,"Private",NA,"Q3"
0.785,"Private",NA,"Q3"
0.5337,"Private",NA,"Q3"
0.6845,"Private",NA,"Q3"
0.8331,"Public",15388,"Q3"
0.7609,"Private",NA,"Q3"
0.6,"Private",NA,"Q3"
0.9617,"Private",NA,"Q3"
0.8802,"Private",NA,"Q3"
0.5818,"Private",NA,"Q3"
0.7765,"Private",NA,"Q3"
0.5766,"Private",NA,"Q3"
0.869,"Private",NA,"Q3"
0.6057,"Private",NA,"Q3"
0.6069,"Public",13745,"Q3"
0.8917,"Public",12409,"Q3"
0.5285,"Private",NA,"Q3"
0.5862,"Private",NA,"Q3"
0.9228,"Public",17615,"Q3"
0.4472,"Private",NA,"Q3"
0.9591,"Public",15255,"Q3"
0.7923,"Public",14032,"Q3"
0.5988,"Private",NA,"Q3"
0.7223,"Private",NA,"Q3"
0.7898,"Public",12708,"Q3"
0.9576,"Public",14331,"Q3"
0.6573,"Private",NA,"Q3"
0.9478,"Private",NA,"Q3"
0.3401,"Private",NA,"Q3"
0.6844,"Private",NA,"Q3"
0.6857,"Private",NA,"Q3"
0.7127,"Private",NA,"Q3"
0.6002,"Public",11849,"Q3"
0.8219,"Private",NA,"Q3"
0.5075,"Private",NA,"Q3"
0.3774,"Public",16725,"Q3"
0.6861,"Public",15416,"Q3"
0.7112,"Public",15496,"Q3"
0.7031,"Private",NA,"Q3"
0.5381,"Private",NA,"Q3"
0.8449,"Public",11442,"Q3"
0.8217,"Public",10727,"Q3"
0.467,"Public",10290,"Q3"
0.8108,"Private",NA,"Q3"
0.8775,"Private",NA,"Q3"
0.9615,"Private",NA,"Q3"
0.7416,"Private",NA,"Q3"
0.9232,"Public",13643,"Q3"
0.4363,"Public",16416,"Q3"
0.6074,"Public",9157,"Q3"
0.7623,"Public",13729,"Q3"
0.8349,"Public",7873,"Q3"
0.7423,"Private",NA,"Q3"
0.6744,"Public",11375,"Q3"
0.8707,"Private",NA,"Q3"
0.6151,"Public",9861,"Q3"
0.5036,"Public",10487,"Q3"
0.8694,"Public",11467,"Q3"
0.7724,"Public",8888,"Q3"
0.84,"Public",9991,"Q3"
0.6615,"Private",NA,"Q3"
0.448,"Public",11195,"Q3"
0.359,"Public",15602,"Q3"
0.4888,"Public",NA,"Q3"
0.593,"Public",10787,"Q3"
0.2643,"Private",NA,"Q3"
0.5443,"Private",NA,"Q3"
0.2417,"Private",NA,"Q3"
0.1495,"Private",NA,"Q3"
0.2604,"Private",NA,"Q3"
0.6639,"Public",10573,"Q3"
0.7989,"Private",NA,"Q3"
0.837,"Public",15186,"Q3"
0.8106,"Public",16813,"Q3"
0.8584,"Private",NA,"Q3"
0.681,"Public",12984,"Q3"
0.9625,"Private",NA,"Q3"
0.7778,"Private",NA,"Q3"
0.828,"Public",18509,"Q3"
0.7295,"Public",17854,"Q3"
0.5176,"Public",14937,"Q3"
0.5903,"Private",NA,"Q3"
0.355,"Public",16147,"Q3"
0.5945,"Public",17783,"Q3"
0.7173,"Private",NA,"Q3"
0.8102,"Private",NA,"Q3"
0.1813,"Private",NA,"Q3"
0.58,"Private",NA,"Q3"
0.6315,"Public",19011,"Q3"
0.4699,"Public",15134,"Q3"
0.5803,"Private",NA,"Q3"
0.5502,"Public",17238,"Q3"
0.5757,"Public",16050,"Q3"
0.6741,"Private",NA,"Q3"
0.8154,"Private",NA,"Q3"
0.4964,"Private",NA,"Q3"
0.5494,"Public",16386,"Q3"
0.7204,"Public",16717,"Q3"
0.6034,"Public",14499,"Q3"
0.5959,"Private",NA,"Q3"
0.6655,"Private",NA,"Q3"
0.7587,"Private",NA,"Q3"
0.6779,"Private",NA,"Q3"
0.1428,"Private",NA,"Q3"
0.7756,"Private",NA,"Q3"
0.5098,"Public",NA,"Q3"
0.7422,"Private",NA,"Q3"
0.2821,"Private",NA,"Q3"
0.8065,"Private",NA,"Q3"
0.576,"Private",NA,"Q3"
0.6255,"Private",NA,"Q3"
0.4379,"Private",NA,"Q3"
0.3617,"Private",NA,"Q3"
0.3222,"Private",NA,"Q3"
0.3645,"Private",NA,"Q3"
0.4561,"Private",NA,"Q3"
0.3704,"Private",NA,"Q3"
0.786,"Public",18287,"Q3"
0.3953,"Private",NA,"Q3"
0.6154,"Private",NA,"Q3"
0.6692,"Private",NA,"Q3"
0.3433,"Public",NA,"Q3"
0.5579,"Private",NA,"Q3"
0.4798,"Private",NA,"Q3"
0.6049,"Private",NA,"Q3"
0.7165,"Private",NA,"Q3"
0.6273,"Private",NA,"Q3"
0.7211,"Public",12587,"Q3"
0.5167,"Public",16570,"Q3"
0.4133,"Private",NA,"Q3"
0.6369,"Private",NA,"Q3"
0.0584,"Private",NA,"Q3"
0.3297,"Private",NA,"Q3"
0.7614,"Private",NA,"Q3"
0.6749,"Private",NA,"Q3"
0.6397,"Public",15001,"Q3"
0.6294,"Public",16046,"Q3"
0.7141,"Public",12775,"Q3"
0.8921,"Private",NA,"Q3"
0.6982,"Public",18773,"Q3"
0.0815,"Private",NA,"Q3"
0.7726,"Public",10921,"Q3"
0.786,"Private",NA,"Q3"
0.4681,"Private",NA,"Q3"
0.6065,"Private",NA,"Q3"
0.7681,"Private",NA,"Q3"
0.2777,"Private",NA,"Q3"
0.8047,"Private",NA,"Q3"
0.672,"Public",14942,"Q3"
0.3231,"Private",NA,"Q3"
0.7243,"Private",NA,"Q3"
0.6929,"Public",15735,"Q3"
0.4897,"Private",NA,"Q3"
0.4308,"Private",NA,"Q3"
0.6604,"Public",5013,"Q3"
0.6992,"Private",NA,"Q3"
0.7213,"Public",16156,"Q3"
0.7091,"Private",NA,"Q3"
0.825,"Private",NA,"Q3"
0.1884,"Private",NA,"Q3"
0.2911,"Private",NA,"Q3"
0.5761,"Private",NA,"Q3"
0.8151,"Private",NA,"Q3"
0.7487,"Public",16049,"Q3"
0.6737,"Private",NA,"Q3"
0.1702,"Private",NA,"Q3"
0.5159,"Private",NA,"Q3"
0.6062,"Public",13812,"Q3"
0.5628,"Private",NA,"Q3"
0.5639,"Private",NA,"Q3"
0.6791,"Private",NA,"Q3"
0.3751,"Private",NA,"Q3"
0.7135,"Private",NA,"Q3"
0.6975,"Private",NA,"Q3"
0.6304,"Public",14613,"Q3"
0.7263,"Private",NA,"Q3"
0.486,"Private",NA,"Q3"
0.917,"Private",NA,"Q3"
0.6147,"Private",NA,"Q3"
0.6398,"Public",12853,"Q3"
0.759,"Public",15769,"Q3"
0.6159,"Private",NA,"Q3"
0.6807,"Private",NA,"Q3"
0.826,"Public",15811,"Q3"
0.7253,"Private",NA,"Q3"
0.6689,"Private",NA,"Q3"
0.9183,"Public",12515,"Q3"
0.4365,"Private",NA,"Q3"
0.6125,"Private",NA,"Q3"
0.9378,"Private",NA,"Q3"
0.3326,"Public",13575,"Q3"
0.6865,"Public",18402,"Q3"
0.7659,"Public",12826,"Q3"
0.6284,"Public",11117,"Q3"
0.7809,"Public",13933,"Q3"
0.7313,"Public",14320,"Q3"
0.6538,"Private",NA,"Q3"
0.66,"Public",10119,"Q3"
0.5148,"Private",NA,"Q3"
0.7865,"Public",14811,"Q3"
0.6765,"Private",NA,"Q3"
0.6505,"Private",NA,"Q3"
0.7624,"Public",14199,"Q3"
0.8285,"Public",18809,"Q3"
0.6086,"Private",NA,"Q3"
0.6678,"Public",13170,"Q3"
0.9485,"Private",NA,"Q3"
0.2095,"Private",NA,"Q3"
0.7998,"Private",NA,"Q3"
0.5239,"Private",NA,"Q3"
0.6322,"Private",NA,"Q3"
0.6557,"Private",NA,"Q3"
0.3416,"Private",NA,"Q3"
0.6555,"Public",13468,"Q3"
0.4442,"Public",15468,"Q3"
0.6916,"Public",10678,"Q3"
0.5895,"Private",NA,"Q3"
0.2143,"Private",NA,"Q3"
0.7822,"Public",14813,"Q3"
0.5764,"Public",13038,"Q3"
0.8911,"Public",13704,"Q3"
0.9521,"Private",NA,"Q3"
0.6915,"Private",NA,"Q3"
0.5873,"Private",NA,"Q3"
0.7554,"Private",NA,"Q3"
0.8691,"Public",14258,"Q3"
0.7516,"Private",NA,"Q3"
0.7485,"Private",NA,"Q3"
0.5919,"Private",NA,"Q3"
0.7265,"Private",NA,"Q3"
0.8617,"Private",NA,"Q3"
0.6089,"Private",NA,"Q3"
0.6546,"Public",14298,"Q3"
0.7243,"Private",NA,"Q3"
0.6075,"Public",16168,"Q3"
0.8291,"Public",16031,"Q3"
0.4842,"Private",NA,"Q3"
0.8941,"Public",14775,"Q3"
0.6464,"Public",16344,"Q3"
0.4745,"Private",NA,"Q3"
0.5936,"Public",17369,"Q3"
0.4349,"Public",12098,"Q3"
0.2272,"Public",10619,"Q3"
0.673,"Private",NA,"Q3"
0.6482,"Public",17671,"Q3"
0.8566,"Public",1951,"Q3"
0.6631,"Public",13912,"Q3"
0.4877,"Private",NA,"Q3"
0.6108,"Private",NA,"Q3"
0.8975,"Private",NA,"Q3"
0.8696,"Private",NA,"Q3"
0.5838,"Private",NA,"Q3"
0.6506,"Private",NA,"Q3"
0.8083,"Public",16579,"Q3"
0.7143,"Public",18810,"Q3"
0.9524,"Private",NA,"Q3"
0.8095,"Private",NA,"Q3"
0.6425,"Private",NA,"Q3"
0.6524,"Private",NA,"Q3"
0.643,"Private",NA,"Q3"
0.9091,"Private",NA,"Q3"
0.6629,"Private",NA,"Q3"
0.7611,"Private",NA,"Q3"
0.6774,"Private",NA,"Q3"
0.6095,"Private",NA,"Q3"
0.9728,"Public",10873,"Q3"
0.2218,"Private",NA,"Q3"
0.7861,"Public",16014,"Q3"
0.33,"Public",18481,"Q3"
0.8215,"Public",15569,"Q3"
0.7419,"Public",15613,"Q3"
0.7219,"Public",12929,"Q3"
0.7241,"Public",11875,"Q3"
0.1301,"Private",NA,"Q3"
0.9638,"Private",NA,"Q3"
0.7543,"Private",NA,"Q3"
0.5053,"Public",13198,"Q3"
0.6443,"Private",NA,"Q3"
0.9886,"Private",NA,"Q3"
0.9022,"Private",NA,"Q3"
0.6756,"Private",NA,"Q3"
0.8546,"Public",12966,"Q3"
0.851,"Public",15596,"Q3"
0.1555,"Private",NA,"Q3"
0.5806,"Private",NA,"Q3"
0.719,"Private",NA,"Q3"
0.5778,"Private",NA,"Q3"
0.7514,"Private",NA,"Q3"
0.53,"Private",NA,"Q3"
0.8891,"Public",11518,"Q3"
0.8449,"Public",16967,"Q3"
0.9423,"Public",13845,"Q3"
0.6056,"Private",NA,"Q3"
0.7167,"Private",NA,"Q3"
0.7152,"Private",NA,"Q3"
0.7665,"Private",NA,"Q3"
0.7364,"Private",NA,"Q3"
0.8486,"Public",13879,"Q3"
0.3333,"Private",NA,"Q3"
0.7078,"Public",12738,"Q3"
0.7689,"Private",NA,"Q3"
0.6404,"Public",15470,"Q3"
0.8512,"Public",12067,"Q3"
0.8396,"Public",15940,"Q3"
0.8312,"Private",NA,"Q3"
0.0978,"Private",NA,"Q3"
0.8472,"Private",NA,"Q3"
0.8997,"Private",NA,"Q3"
0.7866,"Private",NA,"Q3"
0.7784,"Public",21800,"Q3"
0.8185,"Public",19971,"Q3"
0.7748,"Public",19726,"Q3"
0.8928,"Private",NA,"Q3"
0.7365,"Private",NA,"Q3"
0.2,"Private",NA,"Q3"
0.5464,"Private",NA,"Q3"
0.6408,"Private",NA,"Q3"
0.9094,"Private",NA,"Q3"
0.7743,"Private",NA,"Q3"
0.7341,"Private",NA,"Q3"
0.8819,"Private",NA,"Q3"
0.7774,"Private",NA,"Q3"
0.779,"Private",NA,"Q3"
0.5923,"Public",26970,"Q3"
0.3287,"Private",NA,"Q3"
0.4129,"Public",15395,"Q3"
0.8037,"Public",16163,"Q3"
0.7791,"Private",NA,"Q3"
0.6532,"Public",21375,"Q3"
0.7778,"Private",NA,"Q3"
0.6547,"Public",18906,"Q3"
0.0741,"Private",NA,"Q3"
0.5526,"Public",20372,"Q3"
0.7187,"Private",NA,"Q3"
0.5859,"Public",15362,"Q3"
0.5951,"Public",20396,"Q3"
0.5401,"Public",15420,"Q3"
0.5,"Private",NA,"Q3"
0.5408,"Private",NA,"Q3"
0.7916,"Private",NA,"Q3"
0.4836,"Private",NA,"Q3"
0.3816,"Private",NA,"Q3"
0.6211,"Public",20394,"Q3"
0.4311,"Public",21135,"Q3"
0.6811,"Public",18208,"Q3"
0.6321,"Public",11199,"Q3"
0.4136,"Public",11687,"Q3"
0.6458,"Public",10514,"Q3"
0.852,"Public",12300,"Q3"
0.7706,"Private",NA,"Q3"
0.6814,"Private",NA,"Q3"
0.634,"Private",NA,"Q3"
0.698,"Private",NA,"Q3"
0.1784,"Private",NA,"Q3"
0.2603,"Private",NA,"Q3"
0.5625,"Private",NA,"Q3"
0.9583,"Private",NA,"Q3"
0.3761,"Private",NA,"Q3"
0.2053,"Private",NA,"Q3"
0.7251,"Private",NA,"Q3"
0.7795,"Private",NA,"Q3"
0.931,"Private",NA,"Q3"
0.6403,"Private",NA,"Q3"
0.2638,"Private",NA,"Q3"
0.5487,"Private",NA,"Q3"
0.0742,"Private",NA,"Q3"
0.1556,"Private",NA,"Q3"
0.8967,"Private",NA,"Q3"
0.2483,"Public",10721,"Q3"
0.3198,"Public",10032,"Q3"
0.9975,"Public",11135,"Q3"
0.341,"Public",10035,"Q3"
0.2972,"Public",10893,"Q3"
0.3405,"Public",9770,"Q3"
0.2328,"Public",9864,"Q3"
0.9141,"Public",12566,"Q3"
0.768,"Public",10158,"Q3"
0.3702,"Public",10421,"Q3"
0.351,"Public",9959,"Q3"
0.7908,"Private",NA,"Q3"
0.4864,"Private",NA,"Q3"
0.7189,"Private",NA,"Q3"
0.7828,"Private",NA,"Q3"
0.7978,"Private",NA,"Q3"
0.4484,"Public",14297,"Q3"
0.4713,"Private",NA,"Q3"
0.2719,"Private",NA,"Q3"
0.8424,"Private",NA,"Q3"
0.4944,"Private",NA,"Q3"
0.5871,"Private",NA,"Q3"
0.9108,"Private",NA,"Q3"
0.9212,"Private",NA,"Q3"
0.666,"Private",NA,"Q3"
0.5505,"Private",NA,"Q3"
0.0734,"Private",NA,"Q3"
0.8778,"Private",NA,"Q3"
0.619,"Private",NA,"Q3"
0.869,"Private",NA,"Q3"
0.8067,"Private",NA,"Q3"
0.6617,"Private",NA,"Q3"
0.3431,"Private",NA,"Q3"
0.7674,"Private",NA,"Q3"
0.3745,"Private",NA,"Q3"
0.7463,"Private",NA,"Q3"
0.5429,"Private",NA,"Q3"
0.5724,"Private",NA,"Q3"
0.9167,"Private",NA,"Q3"
0.8,"Private",NA,"Q3"
0.2909,"Public",26658,"Q3"
0.7267,"Private",NA,"Q3"
0.86,"Private",NA,"Q3"
0.731,"Private",NA,"Q3"
0.6839,"Private",NA,"Q3"
0.5695,"Private",NA,"Q3"
0.6659,"Private",NA,"Q3"
0.2605,"Private",NA,"Q3"
0.6633,"Private",NA,"Q3"
0.7407,"Private",NA,"Q3"
0.4675,"Private",NA,"Q3"
0.9671,"Private",NA,"Q3"
0.7683,"Private",NA,"Q3"
0.7523,"Private",NA,"Q3"
0.5859,"Private",NA,"Q3"
0.5572,"Private",NA,"Q3"
0.412,"Private",NA,"Q3"
0.726,"Private",NA,"Q3"
0.6016,"Private",NA,"Q3"
0.3568,"Private",NA,"Q3"
0.5664,"Private",NA,"Q3"
0.7999,"Private",NA,"Q3"
0.6433,"Private",NA,"Q3"
0.4643,"Private",NA,"Q3"
0.7751,"Private",NA,"Q3"
0.8224,"Private",NA,"Q3"
0.6166,"Private",NA,"Q3"
0.6805,"Private",NA,"Q3"
0.3505,"Private",NA,"Q3"
0.7538,"Private",NA,"Q3"
0.6277,"Private",NA,"Q3"
0.5316,"Private",NA,"Q3"
0.5494,"Public",17323,"Q3"
0.7824,"Public",15817,"Q3"
0.5867,"Public",16815,"Q3"
0.7309,"Public",18009,"Q3"
0.5264,"Public",12249,"Q3"
0.5898,"Public",19248,"Q3"
0.5545,"Public",18166,"Q3"
0.4287,"Public",18324,"Q3"
0.5652,"Public",16768,"Q3"
0.3948,"Public",15882,"Q3"
0.5052,"Public",16953,"Q3"
0.4754,"Public",14689,"Q3"
0.4774,"Public",15508,"Q3"
0.4853,"Public",14934,"Q3"
0.4683,"Public",18424,"Q3"
0.5154,"Public",17629,"Q3"
0.4566,"Public",17479,"Q3"
0.4359,"Public",17596,"Q3"
0.5073,"Public",16428,"Q3"
0.4863,"Public",17132,"Q3"
0.6837,"Public",15794,"Q3"
0.3319,"Public",19688,"Q3"
0.5804,"Public",11634,"Q3"
0.4564,"Public",16507,"Q3"
0.8053,"Public",15641,"Q3"
0.6396,"Public",18045,"Q3"
0.4949,"Private",NA,"Q3"
0.5866,"Private",NA,"Q3"
0.9689,"Private",NA,"Q3"
0.3728,"Private",NA,"Q3"
0.8542,"Private",NA,"Q3"
0.2411,"Private",NA,"Q3"
0.6988,"Private",NA,"Q3"
0.2952,"Private",NA,"Q3"
0.8438,"Private",NA,"Q3"
0.8216,"Private",NA,"Q3"
0.6323,"Public",12358,"Q3"
0.6759,"Private",NA,"Q3"
0.3107,"Private",NA,"Q3"
0.6983,"Private",NA,"Q3"
0.4058,"Private",NA,"Q3"
0.6154,"Private",NA,"Q3"
0.2561,"Private",NA,"Q3"
0.1342,"Private",NA,"Q3"
0.6217,"Public",14428,"Q3"
0.5715,"Public",4032,"Q3"
0.5398,"Private",NA,"Q3"
0.5496,"Public",9152,"Q3"
0.4817,"Private",NA,"Q3"
0.7831,"Private",NA,"Q3"
0.6818,"Private",NA,"Q3"
0.6418,"Private",NA,"Q3"
0.3904,"Private",NA,"Q3"
0.3668,"Private",NA,"Q3"
0.6806,"Private",NA,"Q3"
0.7122,"Private",NA,"Q3"
0.4151,"Private",NA,"Q3"
0.6447,"Private",NA,"Q3"
0.6232,"Private",NA,"Q3"
0.6122,"Private",NA,"Q3"
0.5429,"Private",NA,"Q3"
0.4979,"Private",NA,"Q3"
0.6964,"Public",10699,"Q3"
0.6403,"Public",12009,"Q3"
0.2759,"Public",12581,"Q3"
0.6852,"Public",12069,"Q3"
0.6002,"Public",12243,"Q3"
0.5033,"Public",13076,"Q3"
0.4521,"Public",11595,"Q3"
0.5001,"Public",11956,"Q3"
0.4676,"Private",NA,"Q3"
0.5419,"Public",13141,"Q3"
0.7204,"Public",11931,"Q3"
0.9609,"Private",NA,"Q3"
0.4884,"Private",NA,"Q3"
0.7686,"Private",NA,"Q3"
0.6738,"Private",NA,"Q3"
0.5449,"Private",NA,"Q3"
0.6721,"Private",NA,"Q3"
0.352,"Private",NA,"Q3"
0.696,"Private",NA,"Q3"
0.793,"Private",NA,"Q3"
0.5565,"Public",11442,"Q3"
0.3766,"Public",13161,"Q3"
0.4868,"Public",10195,"Q3"
0.8307,"Private",NA,"Q3"
0.5662,"Public",10706,"Q3"
0.737,"Public",16183,"Q3"
0.841,"Public",14071,"Q3"
0.9649,"Public",18825,"Q3"
0.7705,"Public",14969,"Q3"
0.2548,"Private",NA,"Q3"
0.7438,"Private",NA,"Q3"
0.6396,"Private",NA,"Q3"
0.5308,"Private",NA,"Q3"
0.7247,"Public",18209,"Q3"
0.7409,"Public",NA,"Q3"
0.6075,"Public",18110,"Q3"
0.7604,"Private",NA,"Q3"
0.4188,"Private",NA,"Q3"
0.7401,"Private",NA,"Q3"
0.3328,"Public",13365,"Q3"
0.6398,"Private",NA,"Q3"
0.7325,"Public",21694,"Q3"
0.6825,"Private",NA,"Q3"
0.5475,"Private",NA,"Q3"
0.6287,"Public",18206,"Q3"
0.8551,"Private",NA,"Q3"
0.5297,"Private",NA,"Q3"
0.4597,"Private",NA,"Q3"
0.6832,"Private",NA,"Q3"
0.9265,"Public",14497,"Q3"
0.5736,"Private",NA,"Q3"
0.8334,"Private",NA,"Q3"
0.8302,"Public",20086,"Q3"
0.3838,"Private",NA,"Q3"
0.8514,"Private",NA,"Q3"
0.6932,"Private",NA,"Q3"
0.7179,"Private",NA,"Q3"
0.6387,"Private",NA,"Q3"
0.7429,"Private",NA,"Q3"
0.6676,"Public",24345,"Q3"
0.5421,"Private",NA,"Q3"
0.712,"Private",NA,"Q3"
0.6349,"Private",NA,"Q3"
0.8755,"Private",NA,"Q3"
0.7596,"Private",NA,"Q3"
0.9024,"Private",NA,"Q3"
0.3041,"Private",NA,"Q3"
0.494,"Private",NA,"Q3"
0.6785,"Private",NA,"Q3"
0.5553,"Public",16953,"Q3"
0.7295,"Public",19427,"Q3"
0.7533,"Private",NA,"Q3"
0.7374,"Private",NA,"Q3"
0.875,"Private",NA,"Q3"
0.7607,"Private",NA,"Q3"
0.3856,"Private",NA,"Q3"
0.9073,"Public",15226,"Q3"
0.5782,"Private",NA,"Q3"
0.7713,"Private",NA,"Q3"
0.4603,"Private",NA,"Q3"
0.8932,"Private",NA,"Q3"
0.5633,"Private",NA,"Q3"
0.6997,"Private",NA,"Q3"
0.8398,"Public",13789,"Q3"
0.9814,"Public",NA,"Q3"
0.4331,"Private",NA,"Q3"
0.7337,"Public",8931,"Q3"
0.598,"Public",7912,"Q3"
0.6321,"Private",NA,"Q3"
0.4767,"Public",12354,"Q3"
0.7602,"Public",15256,"Q3"
0.5646,"Private",NA,"Q3"
0.7198,"Private",NA,"Q3"
0.8044,"Public",17644,"Q3"
0.4354,"Private",NA,"Q3"
0.5445,"Public",13962,"Q3"
0.7992,"Public",9514,"Q3"
0.9026,"Public",11193,"Q3"
0.4059,"Private",NA,"Q3"
0.5592,"Private",NA,"Q3"
0.67,"Public",14975,"Q3"
0.1594,"Private",NA,"Q3"
0.7528,"Private",NA,"Q3"
0.6285,"Private",NA,"Q3"
0.9219,"Private",NA,"Q3"
0.538,"Private",NA,"Q3"
0.7135,"Public",14233,"Q3"
0.3053,"Private",NA,"Q3"
0.7894,"Public",17038,"Q3"
0.7417,"Public",16678,"Q3"
0.6474,"Private",NA,"Q3"
0.8619,"Private",NA,"Q3"
0.6117,"Public",16242,"Q3"
0.668,"Private",NA,"Q3"
0.4853,"Private",NA,"Q3"
0.7304,"Public",13731,"Q3"
0.5274,"Private",NA,"Q3"
0.5784,"Private",NA,"Q3"
0.882,"Public",17748,"Q3"
0.6231,"Private",NA,"Q3"
0.6487,"Private",NA,"Q3"
0.758,"Private",NA,"Q3"
0.7762,"Private",NA,"Q3"
0.8576,"Private",NA,"Q3"
0.5969,"Private",NA,"Q3"
0.8856,"Public",19012,"Q3"
0.3992,"Private",NA,"Q3"
0.2951,"Private",NA,"Q3"
0.7428,"Private",NA,"Q3"
0.9269,"Public",18938,"Q3"
0.9522,"Private",NA,"Q3"
0.2549,"Private",NA,"Q3"
0.588,"Private",NA,"Q3"
0.6077,"Private",NA,"Q3"
0.5785,"Private",NA,"Q3"
0.9348,"Public",16982,"Q3"
0.0484,"Private",NA,"Q3"
0.6834,"Private",NA,"Q3"
0.4444,"Private",NA,"Q3"
0.815,"Private",NA,"Q3"
0.7409,"Private",NA,"Q3"
0.7844,"Public",17229,"Q3"
0.6409,"Private",NA,"Q3"
0.8735,"Public",16060,"Q3"
0.6957,"Private",NA,"Q3"
0.875,"Private",NA,"Q3"
0.3931,"Private",NA,"Q3"
0.8042,"Private",NA,"Q3"
0.6802,"Private",NA,"Q3"
0.4163,"Private",NA,"Q3"
0.6591,"Private",NA,"Q3"
0.6836,"Private",NA,"Q3"
0.2349,"Private",NA,"Q3"
0.7585,"Private",NA,"Q3"
0.7964,"Private",NA,"Q3"
0.9049,"Public",19286,"Q3"
0.7409,"Private",NA,"Q3"
0.7205,"Private",NA,"Q3"
0.7151,"Private",NA,"Q3"
0.8179,"Public",19804,"Q3"
0.5565,"Private",NA,"Q3"
0.8021,"Private",NA,"Q3"
0.3414,"Private",NA,"Q3"
0.5813,"Private",NA,"Q3"
0.6686,"Private",NA,"Q3"
0.3084,"Private",NA,"Q3"
0.6133,"Public",17334,"Q3"
0.8777,"Public",15607,"Q3"
0.625,"Private",NA,"Q3"
0.7162,"Private",NA,"Q3"
0.455,"Private",NA,"Q3"
0.9229,"Public",17436,"Q3"
0.713,"Private",NA,"Q3"
0.7536,"Private",NA,"Q3"
0.659,"Private",NA,"Q3"
0.7186,"Public",17490,"Q3"
0.6489,"Private",NA,"Q3"
0.5632,"Private",NA,"Q3"
0.7995,"Private",NA,"Q3"
0.6876,"Private",NA,"Q3"
0.4616,"Private",NA,"Q3"
0.5531,"Private",NA,"Q3"
0.7951,"Private",NA,"Q3"
0.8408,"Public",21474,"Q3"
0.8186,"Public",15487,"Q3"
0.8519,"Public",22340,"Q3"
0.8307,"Public",21199,"Q3"
0.7994,"Public",20893,"Q3"
0.7905,"Public",13411,"Q3"
0.8634,"Public",20314,"Q3"
0.542,"Public",25028,"Q3"
0.7774,"Public",14036,"Q3"
0.845,"Public",14875,"Q3"
0.8406,"Private",NA,"Q3"
0.3614,"Private",NA,"Q3"
0.1224,"Private",NA,"Q3"
0.6408,"Private",NA,"Q3"
0.7539,"Private",NA,"Q3"
0.5131,"Private",NA,"Q3"
0.5635,"Private",NA,"Q3"
0.8532,"Public",16302,"Q3"
0.9311,"Public",17566,"Q3"
0.9038,"Public",18431,"Q3"
0.5613,"Public",25108,"Q3"
0.7393,"Private",NA,"Q3"
0.281,"Private",NA,"Q3"
0.8051,"Private",NA,"Q3"
0.7606,"Private",NA,"Q3"
0.7873,"Private",NA,"Q3"
0.6875,"Private",NA,"Q3"
0.7503,"Private",NA,"Q3"
0.652,"Private",NA,"Q3"
0.8387,"Private",NA,"Q3"
0.8341,"Public",17141,"Q3"
0.6698,"Public",17198,"Q3"
0.8571,"Private",NA,"Q3"
0.7233,"Private",NA,"Q3"
0.1432,"Private",NA,"Q3"
0.3818,"Public",6434,"Q3"
0.7273,"Private",NA,"Q3"
0.6387,"Public",19443,"Q3"
0.6633,"Private",NA,"Q3"
0.7484,"Private",NA,"Q3"
0.489,"Private",NA,"Q3"
0.25,"Private",NA,"Q3"
0.3973,"Private",NA,"Q3"
0.7523,"Private",NA,"Q3"
0.5156,"Public",21477,"Q3"
0.1296,"Private",NA,"Q3"
0.7336,"Private",NA,"Q3"
0.6726,"Private",NA,"Q3"
0.7598,"Private",NA,"Q3"
0.7351,"Private",NA,"Q3"
0.0918,"Private",NA,"Q3"
0.7655,"Private",NA,"Q3"
0.7602,"Private",NA,"Q3"
0.5979,"Private",NA,"Q3"
0.6915,"Public",10767,"Q3"
0.7871,"Public",18076,"Q3"
0.2731,"Private",NA,"Q3"
0.8098,"Private",NA,"Q3"
0.6706,"Private",NA,"Q3"
0.6502,"Private",NA,"Q3"
0.6887,"Private",NA,"Q3"
0.937,"Private",NA,"Q3"
0.7031,"Public",17423,"Q3"
0.8041,"Public",15861,"Q3"
0.526,"Private",NA,"Q3"
0.5787,"Public",10490,"Q3"
0.5326,"Private",NA,"Q3"
0.6499,"Private",NA,"Q3"
0.5201,"Private",NA,"Q3"
0.5667,"Public",14356,"Q3"
0.6397,"Private",NA,"Q3"
