"YearType","Year","OrganizationGroupCode","OrganizationGroup","DepartmentCode","Department","UnionCode","Union","JobFamilyCode","JobFamily","JobCode","Job","EmployeeIdentifier","Salaries","Overtime","OtherSalaries","TotalSalary","Retirement","HealthDental","OtherBenefits","TotalBenefits","TotalCompensation"
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2500","Med Therapy & Auxiliary","2586","Health Worker 2",40084,65876.08,172.13,1104.85,67153.06,12339.77,13766.7,5348.18,31454.65,98607.71
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8304","Deputy Sheriff",17752,106582.7,24435.72,7992.47,139010.89,29608.17,13890.5,2282.96,45781.63,184792.52
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",40109,61166.3,0,3387,64553.3,11387.78,13890.5,5289.67,30567.95,95121.25
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5300","Sub-Professional Engineering","5314","Survey Associate",25757,105640.7,577.65,0,106218.35,19461.7,13890.63,8435.31,41787.64,148005.99
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2905","Senior Eligibility Worker",14619,71102,0,605,71707,13208.94,13890.5,5851.47,32950.91,104657.91
"Calendar",2016,6,"General Administration & Finance","CPC","City Planning",323,"Members of Boards and Commissions","0900","Management","0112","Bdcomm Mbr, Grp3,M=$50/Mtg",22060,900,0,0,900,0,115.75,70.8,186.55,1086.55
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",20335,158315.28,692.3,37741.11,196748.69,0,11594.77,3316.39,14911.16,211659.85
"Calendar",2016,6,"General Administration & Finance","CON","Controller",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1800","Budget, Admn & Stats Analysis","1823","Senior Administrative Analyst",12655,30914.92,0,0,30914.92,5753.26,3864.66,2511.87,12129.79,43044.71
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3208","Pool Lifeguard",29100,2138.81,0,114.09,2252.9,0,720.25,174.86,895.11,3148.01
"Calendar",2016,2,"Public Works, Transportation & Commerce","PRT","Port",351,"Municipal Executive Association - Miscellaneous","0900","Management","0953","Dep Dir III",24718,191413.8,0,0,191413.8,34344.59,13890.5,19406.25,67641.34,259055.14
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",30767,119258.66,11009.44,18276.2,148544.3,24499.41,16977.28,2492.01,43968.7,192513
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2905","Senior Eligibility Worker",4455,83377.83,882.56,450,84710.39,15444.16,13890.5,6917.33,36251.99,120962.38
"Calendar",2016,4,"Community Health","DPH","Public Health",21,"Prof & Tech Engineers - Miscellaneous, Local 21","6100","Health & Sanitation Inspection","6138","Industrial Hygienist",26217,109156.27,0,0,109156.27,19597.93,11819.8,9001.47,40419.2,149575.47
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",6,"Electrical Workers, Local 6","7300","Journeyman Trade","7371","Electrical Transit System Mech",23736,91835.4,3045.6,2547,97428,17099.7,13890.5,7804.69,38794.89,136222.89
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q002","Police Officer",2986,85336.91,3193.42,3115.29,91645.62,15564.64,13890.5,3802.72,33257.86,124903.48
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",261,"Laborers, Local 261","7500","Semi-Skilled & General Labor","7514","General Laborer",28086,69128.1,993.8,1090.63,71212.53,12936.32,13890.49,5638.2,32465.01,103677.54
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",8588,146124.48,11913.63,9961.49,167999.6,25659.87,13890.49,2779.63,42329.99,210329.59
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8214","Parking Control Officer",26371,68102.1,41070.24,8317.63,117489.97,13576.7,13890.5,9190.8,36658,154147.97
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2500","Med Therapy & Auxiliary","2587","Health Worker 3",21672,68950.97,0,320,69270.97,12761.3,13859.95,4985.36,31606.61,100877.58
"Calendar",2016,6,"General Administration & Finance","CPC","City Planning",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5277","Planner 1",5331,69361.17,0,0,69361.17,12777.83,13890.5,5432.71,32101.04,101462.21
"Calendar",2016,3,"Human Welfare & Neighborhood Development","RNT","Rent Arbitration Board",323,"Members of Boards and Commissions","0900","Management","0112","Bdcomm Mbr, Grp3,M=$50/Mtg",28655,700,0,0,700,0,90.03,54.33,144.36,844.36
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",22067,27282.91,4365.99,732.24,32381.14,6185.57,8636.15,2502.6,17324.32,49705.46
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8201","School Crossing Guard",14999,15302.06,0,0,15302.06,0,5738.64,1210.46,6949.1,22251.16
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","1800","Budget, Admn & Stats Analysis","1820","Junior Administrative Analyst",1546,72029.46,4095.03,5172.07,81296.56,13389.1,13893.85,6720.24,34003.19,115299.75
"Calendar",2016,5,"Culture & Recreation","LIB","Public Library",790,"SEIU - Miscellaneous, Local 1021","3600","Library","3602","Library Page",32336,31286.93,0,574.15,31861.08,6800.72,9044.92,2566.27,18411.91,50272.99
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H003","EMT/Paramedic/Firefighter",31455,122085.65,14625.9,7601.52,144313.07,22602.33,15486.81,2455.26,40544.4,184857.47
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1478","Senior Water Services Clerk",46575,75631.92,0,0,75631.92,13933.37,13890.5,6214.33,34038.2,109670.12
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",4,"Painters, Local 1176","7300","Journeyman Trade","7346","Painter",44996,86292.11,0,2140,88432.11,16291.52,13890.56,7220.08,37402.16,125834.27
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2913","Program Specialist",45460,56478.97,101.62,0,56580.59,10509.93,9228.17,4291.1,24029.2,80609.79
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",130,"Automotive Machinists, Local 1414","7300","Journeyman Trade","7309","Car And Auto Painter",21316,88693.53,26687.05,20320.44,135701.02,19031.32,13890.5,10293.61,43215.43,178916.45
"Calendar",2016,6,"General Administration & Finance","CAT","City Attorney",200,"Transportation Workers, Local 200","9100","Street Transit","9155","Claims Investigator",51782,114196.5,35235.62,14787.89,164220.01,21618.16,13890.5,10929.08,46437.74,210657.75
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",48945,61159,0,5892.97,67051.97,11878.92,13890.5,5400.66,31170.08,98222.05
"Calendar",2016,4,"Community Health","DPH","Public Health",535,"SEIU - Human Services, Local 1021","2900","Human Services","2903","Eligibility Worker",40350,26455.05,15993.97,3203.43,45652.45,1303.87,6096.39,3625.29,11025.55,56678
"Calendar",2016,1,"Public Protection","FIR","Fire Department",351,"Municipal Executive Association - Miscellaneous","0900","Management","0931","Manager III",409,65412.55,0,0,65412.55,11859.31,6173.55,9042.83,27075.69,92488.24
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5201","Junior Engineer",42287,27315.01,1165.16,1016.74,29496.91,5272.53,4630.16,2387.1,12289.79,41786.7
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q004","Police Officer 3",50353,125909.16,75040.94,4668.89,205618.99,22132.76,13890.5,3464.5,39487.76,245106.75
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5300","Sub-Professional Engineering","5310","Survey Assistant I",41838,80469.91,55.82,0,80525.73,14822.59,13691.09,6345.8,34859.48,115385.21
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",53898,71232.21,19566.79,6597.58,97396.58,17648.94,14356.08,7611.44,39616.46,137013.04
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",NA,NA,NA,NA,"3278","Recreation Facility Assistant",39486,4250.13,0,231.55,4481.68,0,1652.71,347.84,2000.55,6482.23
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",NA,NA,NA,NA,"9152","Transportation Controller Trainee",35071,40655.3,6756.48,4008.62,51420.4,7846.5,5631.57,4182.46,17660.53,69080.93
"Calendar",2016,2,"Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise",21,"Prof & Tech Engineers - Miscellaneous, Local 21","2400","Lab, Pharmacy & Med Techs","2481","Water Qualitytech I/II",30195,63707.16,868.3,636.68,65212.14,11834.86,13761.9,5255.1,30851.86,96064
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q002","Police Officer",18715,118780.97,3915.31,11603.62,134299.9,20886.1,13890.5,2309.77,37086.37,171386.27
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2100","Hospital Administration","2112","Medical Records Technician",17002,77521.11,0,0,77521.11,14281.35,13890.5,6328.67,34500.52,112021.63
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","9200","Airport Operation","9212","Airport Safety Officer",18790,32739.29,0,966.01,33705.3,6144.48,4655.38,2722.49,13522.35,47227.65
"Calendar",2016,1,"Public Protection","JUV","Juvenile Probation",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1444","Secretary 1",14371,63586.17,0,647.78,64233.95,11833.54,13885.68,5336.05,31055.27,95289.22
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",34220,146121.77,14098.62,860.04,161080.43,25659.93,13890.51,2755.24,42305.68,203386.11
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",28067,146111.06,60175.17,14515.07,220801.3,25660.19,13890.51,3663.99,43214.69,264015.99
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",351,"Municipal Executive Association - Miscellaneous","0900","Management","0932","Manager IV",1704,160344.48,0,0,160344.48,28769.97,13890.5,19887.78,62548.25,222892.73
"Calendar",2016,6,"General Administration & Finance","HSS","Health Service System",790,"SEIU - Miscellaneous, Local 1021","1800","Budget, Admn & Stats Analysis","1813","Senior Benefits Analyst",6110,96088.53,1588.53,0,97677.06,17702.42,13491.15,7945.27,39138.84,136815.9
"Calendar",2016,2,"Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise",38,"Plumbers and Pipefitters, Local 38","7400","Skilled Labor","7449","Sewer Service Worker",15287,94902.71,12831.39,20102.43,127836.53,19785.04,12347.1,9831.66,41963.8,169800.33
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",856,"Teamsters - Miscellaneous, Local 856","7400","Skilled Labor","7444","Parking Meter Repairer",8030,40254.4,1357.5,6867.78,48479.68,7596.49,7151.06,3950.33,18697.88,67177.56
"Calendar",2016,6,"General Administration & Finance","ADM","General Services Agency - City Admin",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1800","Budget, Admn & Stats Analysis","1823","Senior Administrative Analyst",44665,16112,0,0,16112,2998.44,2057.85,1268.59,6324.88,22436.88
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",665,7259.89,0,191.54,7451.43,0,556.26,472.53,1028.79,8480.22
"Calendar",2016,6,"General Administration & Finance","ADM","General Services Agency - City Admin",790,"SEIU - Miscellaneous, Local 1021","1300","Pub Relations & Spec Assts","1322","Customer Service Agent Trainee",36280,20254.54,0,16.8,20271.34,0,4339.95,1573.38,5913.33,26184.67
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",21,"Prof & Tech Engineers - Miscellaneous, Local 21","8200","Protection & Apprehension","8219","Parking Enforcement Admin",13645,81095.78,3870.43,6866.08,91832.29,15228.49,12529.54,7331,35089.03,126921.32
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",51822,2924.35,0,601.19,3525.54,0,250.8,240.13,490.93,4016.47
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",6,"Electrical Workers, Local 6","7300","Journeyman Trade","7371","Electrical Transit System Mech",25735,91500.8,20037.22,11208.36,122746.38,18612.12,13839.05,9814.64,42265.81,165012.19
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",261,"Laborers, Local 261","3400","Agriculture & Horticulture","3417","Gardener",14281,71697.03,2678.29,863.29,75238.61,13313.3,13890.5,6102,33305.8,108544.41
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",6,"Electrical Workers, Local 6","7300","Journeyman Trade","7345","Electrician",47884,113546.1,28474.65,32543.49,174564.24,20918.03,13890.5,11134.35,45942.88,220507.12
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q003","Police Officer 2",11083,123466.08,19278.85,14171.47,156916.4,21706.34,13890.5,2627.99,38224.83,195141.23
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",42515,146786.04,59130.65,21472.79,227389.48,25778.66,13890.49,3820.11,43489.26,270878.74
"Calendar",2016,6,"General Administration & Finance","CAT","City Attorney",311,"Municipal Attorneys' Association","8100","Legal & Court","8177","Attorney (Civil/Criminal)",21141,123096.13,0,750,123846.13,22076.67,8488.64,9769.53,40334.84,164180.97
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8201","School Crossing Guard",3009,3718.31,0,0,3718.31,0,1415.93,288.6,1704.53,5422.84
"Calendar",2016,6,"General Administration & Finance","ADM","General Services Agency - City Admin",21,"Prof & Tech Engineers - Miscellaneous, Local 21","2900","Human Services","2992","Contract Compliance Officer 1",41159,29801.5,0,0,29801.5,5432.84,4604.44,2317.71,12354.99,42156.49
"Calendar",2016,2,"Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise",21,"Prof & Tech Engineers - Miscellaneous, Local 21","2400","Lab, Pharmacy & Med Techs","2486","Chemist I/II",37621,83056.2,0,0,83056.2,15300.77,13890.5,6708.29,35899.56,118955.76
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1000","Information Systems","1070","IS Project Director",8542,166915.84,0,0,166915.84,29948.99,13890.5,11064.36,54903.85,221819.69
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","9900","Public Service Aide","9910","Public Service Trainee",52820,2764.25,0,0,2764.25,0,1401.91,214.55,1616.46,4380.71
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters Unit 1, Local 798","H000","Fire Services","H008","EMT Paramedic",49647,172.35,0,0,172.35,0,25.72,13.38,39.1,211.45
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8304","Deputy Sheriff",24195,106570.02,9740.34,13760.28,130070.64,31119.14,13890.5,2157.1,47166.74,177237.38
"Calendar",2016,2,"Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise",790,"SEIU - Miscellaneous, Local 1021","1900","Purchasing & Storekeeping","1936","Senior Storekeeper",9101,45152.12,1746.16,3485.01,50383.29,8442.84,9260.33,4176.65,21879.82,72263.11
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3279","Recreation Leader",16394,14790.51,0,113.52,14904.03,0,3803.82,1156.8,4960.62,19864.65
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8304","Deputy Sheriff",18444,106582.7,6064.85,9490.2,122137.75,29999.23,13890.5,2086.29,45976.02,168113.77
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q004","Police Officer 3",1352,125920.68,12751.23,3994,142665.91,22132.48,13890.5,2390.75,38413.73,181079.64
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q003","Police Officer 2",34510,93334.93,16455.9,6234.38,116025.21,17303.5,11832.65,1857.2,30993.35,147018.56
"Calendar",2016,6,"General Administration & Finance","REG","Elections",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1402","Junior Clerk",34766,18663.72,2502.43,249.9,21416.05,0,5856.84,1662.23,7519.07,28935.12
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q004","Police Officer 3",5727,125920.65,10460.73,30156.18,166537.56,22132.48,13890.5,2810.2,38833.18,205370.74
"Calendar",2016,1,"Public Protection","CRT","Superior Court",23,"Prof & Tech Engineers - Court Employees, Local 21","SCRT","SF Superior Court","355C","Ct Comp Facilities Coord",17564,133739.7,0,0,133739.7,23996.74,13890.5,10412.88,48300.12,182039.82
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",4608,74229.85,37763.42,850.82,112844.09,17020.22,14955.69,8795.11,40771.02,153615.11
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",41749,45831.26,5872.16,1807.62,53511.04,10738.31,13909.46,4097.73,28745.5,82256.54
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5293","Planner 4",47924,89958.06,0,5229.16,95187.22,16231.5,9260.34,7769.46,33261.3,128448.52
"Calendar",2016,2,"Public Works, Transportation & Commerce","DBI","Department of Building Inspection",930,"Building Inspectors' Association - Inspectors","6300","Construction Inspection","6333","Senior Building Inspector",28776,133900.73,0,6695.04,140595.77,25227.78,13830.44,10487.68,49545.9,190141.67
"Calendar",2016,5,"Culture & Recreation","LIB","Public Library",790,"SEIU - Miscellaneous, Local 1021","3600","Library","3610","Library Assistant",53284,49858.52,0,772.21,50630.73,9329.44,10851.93,4055.22,24236.59,74867.32
"Calendar",2016,2,"Public Works, Transportation & Commerce","ECN","Economic and Workforce Development",790,"SEIU - Miscellaneous, Local 1021","9700","Community Development","9775","Sr Community Dev Spec 2",37430,123183.5,0,0,123183.5,22102.38,13890.5,9838.47,45831.35,169014.85
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2300","Nursing","2303","Patient Care Assistant",8969,56920.7,19639.75,8638.23,85198.68,13121.29,13890.5,6820.61,33832.4,119031.08
"Calendar",2016,1,"Public Protection","FIR","Fire Department",799,"Firefighters - Chiefs/Fire Boat Workers, Local 798","H000","Fire Services","H110","Marine Engineer Of Fire Boats",39678,81209.14,6999.53,40385.93,128594.6,16125.11,8797.32,2117.95,27040.38,155634.98
"Calendar",2016,1,"Public Protection","JUV","Juvenile Probation",790,"SEIU - Miscellaneous, Local 1021","8300","Correction & Detention","8320","Counselor, Juvenile Hall",14676,52462.03,4485.27,17952.59,74899.89,13519.49,9774.79,1450.51,24744.79,99644.68
"Calendar",2016,1,"Public Protection","POL","Police",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8249","Fingerprint Technician 1",27127,8076,217.68,0,8293.68,443.98,2057.85,677.37,3179.2,11472.88
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",790,"SEIU - Miscellaneous, Local 1021","9900","Public Service Aide","9920","Publ Svc Aide-Asst To Prof",53987,17987.24,0,0,17987.24,583.68,6141.4,1396.09,8121.17,26108.41
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q003","Police Officer 2",34932,14644.05,1533.05,2188.34,18365.44,2692.6,2057.85,308.18,5058.63,23424.07
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1406","Senior Clerk",23669,60748.29,0,1080,61828.29,11390.28,13890.5,4926.11,30206.89,92035.18
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",40260,61159.01,47.5,8056.5,69263.01,12268.89,13890.5,5572.28,31731.67,100994.68
"Calendar",2016,6,"General Administration & Finance","ADM","General Services Agency - City Admin",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",36834,52099.9,4712.77,3186.36,59999.03,11783.94,13890.49,5404.87,31079.3,91078.33
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","2320","Registered Nurse",5383,76468.39,0,1525,77993.39,13949.2,6945.25,6405.38,27299.83,105293.22
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",NA,NA,NA,NA,"3278","Recreation Facility Assistant",10681,10813.95,0,31.95,10845.9,2246.77,4012.81,863.84,7123.42,17969.32
"Calendar",2016,1,"Public Protection","ECD","Department of Emergency Management",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8239","Public Safetycomm Supv",7816,79074.13,15699.47,10227.4,105001,15402.72,9710.49,8543.49,33656.7,138657.7
"Calendar",2016,6,"General Administration & Finance","TIS","General Services Agency - Technology",351,"Municipal Executive Association - Miscellaneous","0900","Management","0953","Dep Dir III",47497,118092.6,0,0,118092.6,21139.6,11318.18,14839.42,47297.2,165389.8
"Calendar",2016,5,"Culture & Recreation","FAM","Fine Arts Museum",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8226","Museum Guard",51491,3605.71,0,0,3605.71,0,852.08,279.86,1131.94,4737.65
"Calendar",2016,6,"General Administration & Finance","TTX","Treasurer/Tax Collector",790,"SEIU - Miscellaneous, Local 1021","4300","Revenue","4308","Senior Collections Officer",45937,81177.6,0,648,81825.6,15074.34,13890.5,6730.15,35694.99,117520.59
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",13362,116032.86,0,6809.95,122842.81,0,8511.14,9643.36,18154.5,140997.31
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","1400","Clerical, Secretarial & Steno","1428","Unit Clerk",28432,70990.3,0,848,71838.3,13197.68,13890.5,5947.09,33035.27,104873.57
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",12221,61166.3,379.32,3050.1,64595.72,11387.78,13890.5,5301.11,30579.39,95175.11
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",580,"Cement Masons, Local 300","7300","Journeyman Trade","7311","Cement Mason",6475,80944.86,3493.15,1290,85728.01,15144.88,13536.8,6842.95,35524.63,121252.64
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",351,"Municipal Executive Association - Miscellaneous","1100","Administrative & Mgmt (Unrep)","1160","Assistant Director Of Purchasing And Ser",12016,14463,0,0,14463,2636.61,1543.38,1857.44,6037.43,20500.43
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",261,"Laborers, Local 261","3400","Agriculture & Horticulture","3417","Gardener",39552,13290,1864.75,255.68,15410.43,2795.82,3086.79,1245.68,7128.29,22538.72
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",17746,6308.18,0,16.6,6324.78,1358.17,1954.96,478.75,3791.88,10116.66
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",6,"Electrical Workers, Local 6","7300","Journeyman Trade","7371","Electrical Transit System Mech",33102,91835.4,48708.26,11851.3,152394.96,18137.58,13839.05,10710.94,42687.57,195082.53
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",38,"Plumbers and Pipefitters, Local 38","7200","Supervisory-Labor & Trade","7240","Water Meter Shop Supervisor 1",18893,96101.01,0,4491.92,100592.93,18541.5,13562.33,7929.9,40033.73,140626.66
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",51926,52058.47,1767.41,2872.42,56698.3,0,3891.71,1165.18,5056.89,61755.19
"Calendar",2016,6,"General Administration & Finance","ADM","General Services Agency - City Admin",39,"Stationary Engineers, Local 39","7400","Skilled Labor","7314","Aprnt  Stationary Engineer I",4437,56336.39,13411.77,0,69748.16,11409.98,12890.38,5570.27,29870.63,99618.79
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","9200","Airport Operation","9202","Airport Communications Disp",37179,90948.28,18204.17,5816.97,114969.42,17519,13877.64,9369.49,40766.13,155735.55
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2916","Social Work Specialist",30565,55774.52,300.09,1556.73,57631.34,10402.69,9774.8,4660.27,24837.76,82469.1
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1600","Payroll, Billing & Accounting","1649","Accountant Intern",9638,36407.1,0,0,36407.1,6653.62,7716.95,2956.66,17327.23,53734.33
